word,count
زايد,432
امارات,416
سعود,396
يوم,393
عرب,325
عالم,275
محمد,263
قطر,254
وطن,252
عام,225
خير,173
رئيس,159
شيخ,154
اعلام,150
دوله,145
اول,142
ملك,128
امير,125
مقال,122
فيديو,119
مصر,119
تسامح,115
يمن,114
عاجل,114
عمل,113
حمد,108
ميلاد,108
دول,107
سودان,106
علي,106
بحر,101
تاريخ,101
شكرا,98
مسيح,98
ارهاب,97
رياض,96
مملكه,92
شعب,89
مجلس,88
سلمان,88
تركيا,87
امن,85
عيد,85
خارج,81
عبدالعزيز,81
كويت,80
انسان,79
ايران,78
كاس,78
دبي,77
وزير,77
اردوغان,77
عكاظ,76
مبروك,75
حرم,73
2018,72
احد,72
ارض,72
حوث,71
اكثر,71
اهل,70
مجيد,69
اند,68
سمو,68
عبدالله,67
سلام,67
ابوظبي,66
خاشقج,66
طلال,65
رحمه,65
امريك,64
شريف,63
صحيفه,63
سوريا,63
انجاز,63
سياس,61
نظام,61
جديده,60
عمر,60
تنظيم,60
سلطان,59
مده,59
زعيم,59
اخبار,59
ناد,58
صوره,58
2019,58
راشد,58
منصور,58
ريال,58
واشنطن,58
عراق,58
وزاره,56
ناس,56
امام,56
اقتصاد,56
جزيره,55
مواطن,54
داخل,54
محبه,54
